ra,dec,phot_g_mean_mag,phot_bp_mean_mag,phot_rp_mean_mag,parallax,parallax_over_error,ang_sep
40.52669447188046,42.765751156154614,10.701836,10.8366785,10.455723,1.828832680636873,27.505781,0.00592781497961574
40.52584173797052,42.75554981852273,19.71573,20.986116,18.47802,2.670562595576495,4.3106885,0.007178276883766818
40.52395835196026,42.77488549524072,18.205807,19.630562,17.018248,1.7610114086881712,8.055688,0.013387793890833588
40.507381210754254,42.74830748734323,9.717641,9.778178,9.56973,2.4644633473745814,7.3832107,0.01662646969528412
40.54210230229085,42.753107523409184,11.142745,11.295113,10.873368,2.0473820256817508,87.37003,0.01784567553941473
40.49824208957614,42.751609975950835,19.783285,20.710135,18.680197,1.9396802436613951,3.159362,0.019394371363006105
40.524083138489,42.78155020216036,14.2059355,14.767621,13.489253,2.0544660184168264,67.22034,0.01999597019681093
40.49332166081989,42.76753416438725,11.827911,12.066419,11.438984,2.074094454440027,82.38862,0.020999895749310733
40.5513731039065,42.77721083134726,19.545673,20.817545,18.352482,2.450143587340621,3.6588564,0.027281774602990857
40.55402117108073,42.747063899388515,9.928208,9.968819,9.8353,2.236387389148199,35.42119,0.028447318345627245
40.48130221455919,42.76194387563054,19.2339,20.671144,18.043425,2.0898739685521623,4.8465495,0.028999605522317156
40.531262822521455,42.79074744875447,15.363846,16.02851,14.585902,1.7829854016184268,21.91866,0.030045534367407492
40.55608241793757,42.77792880631305,8.809739,8.827378,8.74653,2.119157972930116,30.4888,0.030564756075389138
40.54936689385723,42.786806406603624,15.6549835,14.173465,12.617375,1.9915462527661534,18.388954,0.032711388004709775
40.55055635817833,42.78634648608985,10.022907,10.063455,9.931407,2.058641895045522,67.91834,0.032932278939865625
40.501227292196745,42.73091072035919,17.775457,18.89812,16.781534,1.537728487031086,10.754383,0.03397908587332105
40.528637279696134,42.79624597861018,12.331401,12.5986395,11.904043,1.9898955878705906,97.2378,0.03502163246129991
40.49350793784938,42.79181898438342,8.4696665,8.458663,8.449055,2.05677290310764,51.84042,0.03617257362702848
40.53620332945246,42.797589317281826,14.418729,14.935219,13.750767,2.1170719857444813,70.2189,0.037627910867225674
40.54878747919634,42.73004370493987,15.259428,15.8729925,14.511522,2.022203570953556,47.525208,0.03774328017231384
40.486431253712844,42.7897860649311,8.52498,8.51146,8.513619,2.0870913349480777,52.291615,0.03775237225478173
40.51306656412356,42.800963269317585,16.365837,17.242811,15.451604,2.00139872022315,24.74289,0.039671411454900336
40.520401003520675,42.721735882520406,16.129442,17.113665,15.152607,2.3438049390744093,32.577736,0.03996519177008001
40.5224417793108,42.802226178902416,20.332596,21.597403,18.880575,3.224534913596605,3.532261,0.04054408881232371
